Total Nacional;Comunidades y Ciudades Autónomas;Actividad principal (CNAE 2009);Estrato de asalariados;Total
Total Nacional;09 Cataluña;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;5 a 9;3
Total Nacional;09 Cataluña;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;10 y más;0
Total Nacional;09 Cataluña;80  Actividades de seguridad e investigación;Total;60
Total Nacional;09 Cataluña;80  Actividades de seguridad e investigación;Cero;45
Total Nacional;09 Cataluña;80  Actividades de seguridad e investigación;1 a 4;12
Total Nacional;09 Cataluña;80  Actividades de seguridad e investigación;5 a 9;2
Total Nacional;09 Cataluña;80  Actividades de seguridad e investigación;10 y más;1
Total Nacional;09 Cataluña;81  Servicios a edificios y actividades de jardinería;Total;938
Total Nacional;09 Cataluña;81  Servicios a edificios y actividades de jardinería;Cero;797
Total Nacional;09 Cataluña;81  Servicios a edificios y actividades de jardinería;1 a 4;104
Total Nacional;09 Cataluña;81  Servicios a edificios y actividades de jardinería;5 a 9;22
Total Nacional;09 Cataluña;81  Servicios a edificios y actividades de jardinería;10 y más;15
Total Nacional;09 Cataluña;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;Total;2.529
Total Nacional;09 Cataluña;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;Cero;2.395
Total Nacional;09 Cataluña;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;1 a 4;106
Total Nacional;09 Cataluña;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;5 a 9;15
Total Nacional;09 Cataluña;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;10 y más;13
Total Nacional;09 Cataluña;85  Educación;Total;1.949
Total Nacional;09 Cataluña;85  Educación;Cero;1.801
Total Nacional;09 Cataluña;85  Educación;1 a 4;118
Total Nacional;09 Cataluña;85  Educación;5 a 9;26
Total Nacional;09 Cataluña;85  Educación;10 y más;4
Total Nacional;09 Cataluña;86  Actividades sanitarias;Total;1.991
Total Nacional;09 Cataluña;86  Actividades sanitarias;Cero;1.854
Total Nacional;09 Cataluña;86  Actividades sanitarias;1 a 4;120
Total Nacional;09 Cataluña;86  Actividades sanitarias;5 a 9;16
Total Nacional;09 Cataluña;86  Actividades sanitarias;10 y más;1
Total Nacional;09 Cataluña;87  Asistencia en establecimientos residenciales;Total;17
Total Nacional;09 Cataluña;87  Asistencia en establecimientos residenciales;Cero;9
Total Nacional;09 Cataluña;87  Asistencia en establecimientos residenciales;1 a 4;2
Total Nacional;09 Cataluña;87  Asistencia en establecimientos residenciales;5 a 9;2
Total Nacional;09 Cataluña;87  Asistencia en establecimientos residenciales;10 y más;4
Total Nacional;09 Cataluña;88  Actividades de servicios sociales sin alojamiento;Total;41
Total Nacional;09 Cataluña;88  Actividades de servicios sociales sin alojamiento;Cero;27
Total Nacional;09 Cataluña;88  Actividades de servicios sociales sin alojamiento;1 a 4;11
Total Nacional;09 Cataluña;88  Actividades de servicios sociales sin alojamiento;5 a 9;1
Total Nacional;09 Cataluña;88  Actividades de servicios sociales sin alojamiento;10 y más;2
Total Nacional;09 Cataluña;90  Actividades de creación, artísticas y espectáculos;Total;1.013
Total Nacional;09 Cataluña;90  Actividades de creación, artísticas y espectáculos;Cero;983
Total Nacional;09 Cataluña;90  Actividades de creación, artísticas y espectáculos;1 a 4;26
Total Nacional;09 Cataluña;90  Actividades de creación, artísticas y espectáculos;5 a 9;4
Total Nacional;09 Cataluña;90  Actividades de creación, artísticas y espectáculos;10 y más;0
Total Nacional;09 Cataluña;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;Total;94
Total Nacional;09 Cataluña;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;Cero;87
Total Nacional;09 Cataluña;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;1 a 4;6
Total Nacional;09 Cataluña;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;5 a 9;0
Total Nacional;09 Cataluña;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;10 y más;1
Total Nacional;09 Cataluña;92  Actividades de juegos de azar y apuestas;Total;50
Total Nacional;09 Cataluña;92  Actividades de juegos de azar y apuestas;Cero;40
Total Nacional;09 Cataluña;92  Actividades de juegos de azar y apuestas;1 a 4;10
Total Nacional;09 Cataluña;92  Actividades de juegos de azar y apuestas;5 a 9;0
Total Nacional;09 Cataluña;92  Actividades de juegos de azar y apuestas;10 y más;0
Total Nacional;09 Cataluña;93  Actividades deportivas, recreativas y de entretenimiento;Total;562
Total Nacional;09 Cataluña;93  Actividades deportivas, recreativas y de entretenimiento;Cero;444
Total Nacional;09 Cataluña;93  Actividades deportivas, recreativas y de entretenimiento;1 a 4;100
Total Nacional;09 Cataluña;93  Actividades deportivas, recreativas y de entretenimiento;5 a 9;9
Total Nacional;09 Cataluña;93  Actividades deportivas, recreativas y de entretenimiento;10 y más;9
Total Nacional;09 Cataluña;94  Actividades asociativas;Total;437
Total Nacional;09 Cataluña;94  Actividades asociativas;Cero;290
Total Nacional;09 Cataluña;94  Actividades asociativas;1 a 4;140
Total Nacional;09 Cataluña;94  Actividades asociativas;5 a 9;4
Total Nacional;09 Cataluña;94  Actividades asociativas;10 y más;3
Total Nacional;09 Cataluña;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;Total;434
Total Nacional;09 Cataluña;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;Cero;412
Total Nacional;09 Cataluña;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;1 a 4;20
Total Nacional;09 Cataluña;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;5 a 9;2
Total Nacional;09 Cataluña;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;10 y más;0
Total Nacional;09 Cataluña;96  Otros servicios personales;Total;2.151
Total Nacional;09 Cataluña;96  Otros servicios personales;Cero;1.788
Total Nacional;09 Cataluña;96  Otros servicios personales;1 a 4;332
Total Nacional;09 Cataluña;96  Otros servicios personales;5 a 9;30
Total Nacional;09 Cataluña;96  Otros servicios personales;10 y más;1
Total Nacional;10 Comunitat Valenciana;Todas las actividades;Total;34.343
Total Nacional;10 Comunitat Valenciana;Todas las actividades;Cero;28.432
Total Nacional;10 Comunitat Valenciana;Todas las actividades;1 a 4;5.184
Total Nacional;10 Comunitat Valenciana;Todas las actividades;5 a 9;557
Total Nacional;10 Comunitat Valenciana;Todas las actividades;10 y más;170
Total Nacional;10 Comunitat Valenciana;05  Extracción de antracita, hulla y lignito;Total;0
Total Nacional;10 Comunitat Valenciana;05  Extracción de antracita, hulla y lignito;Cero;0
Total Nacional;10 Comunitat Valenciana;05  Extracción de antracita, hulla y lignito;1 a 4;0
Total Nacional;10 Comunitat Valenciana;05  Extracción de antracita, hulla y lignito;5 a 9;0
Total Nacional;10 Comunitat Valenciana;05  Extracción de antracita, hulla y lignito;10 y más;0
Total Nacional;10 Comunitat Valenciana;06  Extracción de crudo de petróleo y gas natural;Total;0
Total Nacional;10 Comunitat Valenciana;06  Extracción de crudo de petróleo y gas natural;Cero;0
Total Nacional;10 Comunitat Valenciana;06  Extracción de crudo de petróleo y gas natural;1 a 4;0
Total Nacional;10 Comunitat Valenciana;06  Extracción de crudo de petróleo y gas natural;5 a 9;0
Total Nacional;10 Comunitat Valenciana;06  Extracción de crudo de petróleo y gas natural;10 y más;0
Total Nacional;10 Comunitat Valenciana;07  Extracción de minerales metálicos;Total;0
Total Nacional;10 Comunitat Valenciana;07  Extracción de minerales metálicos;Cero;0
Total Nacional;10 Comunitat Valenciana;07  Extracción de minerales metálicos;1 a 4;0
Total Nacional;10 Comunitat Valenciana;07  Extracción de minerales metálicos;5 a 9;0
Total Nacional;10 Comunitat Valenciana;07  Extracción de minerales metálicos;10 y más;0
Total Nacional;10 Comunitat Valenciana;08  Otras industrias extractivas;Total;5
Total Nacional;10 Comunitat Valenciana;08  Otras industrias extractivas;Cero;3
Total Nacional;10 Comunitat Valenciana;08  Otras industrias extractivas;1 a 4;2
Total Nacional;10 Comunitat Valenciana;08  Otras industrias extractivas;5 a 9;0
Total Nacional;10 Comunitat Valenciana;08  Otras industrias extractivas;10 y más;0
Total Nacional;10 Comunitat Valenciana;09  Actividades de apoyo a las industrias extractivas;Total;1
Total Nacional;10 Comunitat Valenciana;09  Actividades de apoyo a las industrias extractivas;Cero;1
Total Nacional;10 Comunitat Valenciana;09  Actividades de apoyo a las industrias extractivas;1 a 4;0
Total Nacional;10 Comunitat Valenciana;09  Actividades de apoyo a las industrias extractivas;5 a 9;0
Total Nacional;10 Comunitat Valenciana;09  Actividades de apoyo a las industrias extractivas;10 y más;0
Total Nacional;10 Comunitat Valenciana;10  Industria de la alimentación;Total;86
Total Nacional;10 Comunitat Valenciana;10  Industria de la alimentación;Cero;43
Total Nacional;10 Comunitat Valenciana;10  Industria de la alimentación;1 a 4;34
Total Nacional;10 Comunitat Valenciana;10  Industria de la alimentación;5 a 9;6
Total Nacional;10 Comunitat Valenciana;10  Industria de la alimentación;10 y más;3
Total Nacional;10 Comunitat Valenciana;11  Fabricación de bebidas;Total;8
Total Nacional;10 Comunitat Valenciana;11  Fabricación de bebidas;Cero;6
Total Nacional;10 Comunitat Valenciana;11  Fabricación de bebidas;1 a 4;2
Total Nacional;10 Comunitat Valenciana;11  Fabricación de bebidas;5 a 9;0
Total Nacional;10 Comunitat Valenciana;11  Fabricación de bebidas;10 y más;0
Total Nacional;10 Comunitat Valenciana;12  Industria del tabaco;Total;0
Total Nacional;10 Comunitat Valenciana;12  Industria del tabaco;Cero;0
Total Nacional;10 Comunitat Valenciana;12  Industria del tabaco;1 a 4;0
Total Nacional;10 Comunitat Valenciana;12  Industria del tabaco;5 a 9;0
Total Nacional;10 Comunitat Valenciana;12  Industria del tabaco;10 y más;0
Total Nacional;10 Comunitat Valenciana;13  Industria textil;Total;120
Total Nacional;10 Comunitat Valenciana;13  Industria textil;Cero;96
Total Nacional;10 Comunitat Valenciana;13  Industria textil;1 a 4;16
Total Nacional;10 Comunitat Valenciana;13  Industria textil;5 a 9;3
Total Nacional;10 Comunitat Valenciana;13  Industria textil;10 y más;5
Total Nacional;10 Comunitat Valenciana;14  Confección de prendas de vestir;Total;105
Total Nacional;10 Comunitat Valenciana;14  Confección de prendas de vestir;Cero;89
Total Nacional;10 Comunitat Valenciana;14  Confección de prendas de vestir;1 a 4;11
Total Nacional;10 Comunitat Valenciana;14  Confección de prendas de vestir;5 a 9;4
Total Nacional;10 Comunitat Valenciana;14  Confección de prendas de vestir;10 y más;1
Total Nacional;10 Comunitat Valenciana;15  Industria del cuero y del calzado;Total;145
Total Nacional;10 Comunitat Valenciana;15  Industria del cuero y del calzado;Cero;92
Total Nacional;10 Comunitat Valenciana;15  Industria del cuero y del calzado;1 a 4;28
Total Nacional;10 Comunitat Valenciana;15  Industria del cuero y del calzado;5 a 9;15
Total Nacional;10 Comunitat Valenciana;15  Industria del cuero y del calzado;10 y más;10
Total Nacional;10 Comunitat Valenciana;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;Total;51
Total Nacional;10 Comunitat Valenciana;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;Cero;29
Total Nacional;10 Comunitat Valenciana;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;1 a 4;15
Total Nacional;10 Comunitat Valenciana;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;5 a 9;2
Total Nacional;10 Comunitat Valenciana;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;10 y más;5
Total Nacional;10 Comunitat Valenciana;17  Industria del papel;Total;6
Total Nacional;10 Comunitat Valenciana;17  Industria del papel;Cero;3
Total Nacional;10 Comunitat Valenciana;17  Industria del papel;1 a 4;2
Total Nacional;10 Comunitat Valenciana;17  Industria del papel;5 a 9;0
Total Nacional;10 Comunitat Valenciana;17  Industria del papel;10 y más;1
Total Nacional;10 Comunitat Valenciana;18  Artes gráficas y reproducción de soportes grabados;Total;131
Total Nacional;10 Comunitat Valenciana;18  Artes gráficas y reproducción de soportes grabados;Cero;114
Total Nacional;10 Comunitat Valenciana;18  Artes gráficas y reproducción de soportes grabados;1 a 4;17
Total Nacional;10 Comunitat Valenciana;18  Artes gráficas y reproducción de soportes grabados;5 a 9;0
Total Nacional;10 Comunitat Valenciana;18  Artes gráficas y reproducción de soportes grabados;10 y más;0
Total Nacional;10 Comunitat Valenciana;19  Coquerías y refino de petróleo;Total;0
Total Nacional;10 Comunitat Valenciana;19  Coquerías y refino de petróleo;Cero;0
Total Nacional;10 Comunitat Valenciana;19  Coquerías y refino de petróleo;1 a 4;0
Total Nacional;10 Comunitat Valenciana;19  Coquerías y refino de petróleo;5 a 9;0
Total Nacional;10 Comunitat Valenciana;19  Coquerías y refino de petróleo;10 y más;0
Total Nacional;10 Comunitat Valenciana;20  Industria química;Total;24
Total Nacional;10 Comunitat Valenciana;20  Industria química;Cero;17
Total Nacional;10 Comunitat Valenciana;20  Industria química;1 a 4;6
Total Nacional;10 Comunitat Valenciana;20  Industria química;5 a 9;1
Total Nacional;10 Comunitat Valenciana;20  Industria química;10 y más;0
Total Nacional;10 Comunitat Valenciana;21  Fabricación de productos farmacéuticos;Total;3
Total Nacional;10 Comunitat Valenciana;21  Fabricación de productos farmacéuticos;Cero;3
Total Nacional;10 Comunitat Valenciana;21  Fabricación de productos farmacéuticos;1 a 4;0
Total Nacional;10 Comunitat Valenciana;21  Fabricación de productos farmacéuticos;5 a 9;0
Total Nacional;10 Comunitat Valenciana;21  Fabricación de productos farmacéuticos;10 y más;0
Total Nacional;10 Comunitat Valenciana;22  Fabricación de productos de caucho y plásticos;Total;32
Total Nacional;10 Comunitat Valenciana;22  Fabricación de productos de caucho y plásticos;Cero;18
Total Nacional;10 Comunitat Valenciana;22  Fabricación de productos de caucho y plásticos;1 a 4;11
Total Nacional;10 Comunitat Valenciana;22  Fabricación de productos de caucho y plásticos;5 a 9;0
Total Nacional;10 Comunitat Valenciana;22  Fabricación de productos de caucho y plásticos;10 y más;3
Total Nacional;10 Comunitat Valenciana;23  Fabricación de otros productos minerales no metálicos;Total;46
Total Nacional;10 Comunitat Valenciana;23  Fabricación de otros productos minerales no metálicos;Cero;32
